iter	MAE
0	9.792782248
1	9.016623716
2	8.339968979
3	7.748452931
4	7.196422848
5	6.730478429
6	6.310366635
7	5.921883984
8	5.582853493
9	5.295493167
10	5.025101392
11	4.794951622
12	4.596379105
13	4.423958715
14	4.272706211
15	4.131474206
16	4.018751982
17	3.919784992
18	3.821179145
19	3.748989381
20	3.671154401
21	3.594346273
22	3.536242693
23	3.485811387
24	3.422478386
25	3.359253767
26	3.309198932
27	3.257635124
28	3.214175366
29	3.180591258
30	3.14332764
31	3.112242303
32	3.088414088
33	3.064554074
34	3.043189378
35	3.026859713
36	3.010183302
37	2.991604481
38	2.973234785
39	2.957718048
40	2.944655545
41	2.931422721
42	2.918516597
43	2.90957871
44	2.893404113
45	2.8802944
46	2.868174786
47	2.85769337
48	2.84961129
49	2.842360307
50	2.834169253
51	2.827249265
52	2.820780908
53	2.810717924
54	2.80514031
55	2.796718559
56	2.787802683
57	2.783050145
58	2.775453115
59	2.7718142
60	2.763859035
61	2.757151065
62	2.749611341
63	2.740329821
64	2.735632597
65	2.73106739
66	2.727562474
67	2.72361356
68	2.719348827
69	2.715236273
70	2.709345404
71	2.702621627
72	2.697745428
73	2.683886471
74	2.678085603
75	2.670681204
76	2.665316578
77	2.660899108
78	2.656256282
79	2.654191277
80	2.651708732
81	2.648940289
82	2.644677227
83	2.641292618
84	2.637544706
85	2.634160274
86	2.632020071
87	2.629847537
88	2.626004689
89	2.622136519
90	2.617841223
91	2.613524405
92	2.609901927
93	2.60355205
94	2.599426572
95	2.596991404
96	2.594935575
97	2.591921615
98	2.589061529
99	2.585352449
100	2.58274519
101	2.579843945
102	2.577292583
103	2.575352631
104	2.572898427
105	2.571076452
106	2.567815066
107	2.563868601
108	2.561559002
109	2.558941854
110	2.55459537
111	2.552700864
112	2.548220461
113	2.546621087
114	2.544397015
115	2.539557229
116	2.537342438
117	2.529266953
118	2.523984775
119	2.518782605
120	2.514764481
121	2.512556256
122	2.507111688
123	2.504555715
124	2.501038507
125	2.499038614
126	2.497369993
127	2.49458736
128	2.492762517
129	2.488843613
130	2.4859961
131	2.484253262
132	2.473738129
133	2.468955863
134	2.465965629
135	2.460989716
136	2.45852601
137	2.455533322
138	2.451982659
139	2.447621854
140	2.444753086
141	2.443090725
142	2.440241484
143	2.436796697
144	2.429560961
145	2.425783804
146	2.424518198
147	2.422916094
148	2.420211067
149	2.418424801
150	2.415706481
151	2.414436121
152	2.412600811
153	2.402038424
154	2.397381836
155	2.396368015
156	2.392132303
157	2.387035798
158	2.385692753
159	2.381770166
160	2.380231753
161	2.379417888
162	2.378102832
163	2.376200603
164	2.374347835
165	2.373191893
166	2.368216864
167	2.366283846
168	2.364972476
169	2.363839547
170	2.360030697
171	2.356627375
172	2.354702165
173	2.353432659
174	2.351781293
175	2.350248023
176	2.347774171
177	2.345392565
178	2.343381616
179	2.34190048
180	2.340671448
181	2.337169862
182	2.335792365
183	2.334278578
184	2.331166696
185	2.328064229
186	2.32697299
187	2.325575001
188	2.324373506
189	2.322889216
190	2.321804214
191	2.321009772
192	2.320346703
193	2.316428075
194	2.315666294
195	2.313493917
196	2.311932418
197	2.310129206
198	2.308479867
199	2.30645766
200	2.305545133
201	2.304197158
202	2.296370955
203	2.295320435
204	2.293888438
205	2.29200657
206	2.29101086
207	2.288780401
208	2.286692402
209	2.285403413
210	2.28451242
211	2.284009013
212	2.282341998
213	2.280843913
214	2.27909615
215	2.277821741
216	2.277036806
217	2.273753923
218	2.271103565
219	2.270057441
220	2.268523959
221	2.267113242
222	2.266550143
223	2.265923418
224	2.262571583
225	2.261488277
226	2.260374595
227	2.25925248
228	2.258051308
229	2.257310567
230	2.254706273
231	2.254076081
232	2.253557948
233	2.252587786
234	2.251354887
235	2.250200317
236	2.248250762
237	2.247908045
238	2.247049869
239	2.245899424
240	2.24270009
241	2.240936983
242	2.240067598
243	2.236839585
244	2.236407307
245	2.23501322
246	2.233886558
247	2.232867136
248	2.231864294
249	2.231023237
250	2.226854066
251	2.226443821
252	2.224399831
253	2.224040192
254	2.223040963
255	2.222064193
256	2.220825045
257	2.21958331
258	2.217827277
259	2.216388011
260	2.215854151
261	2.212884351
262	2.211215095
263	2.210116592
264	2.209658423
265	2.205560064
266	2.204905008
267	2.204573865
268	2.203784902
269	2.203146769
270	2.2018334
271	2.199908922
272	2.199377669
273	2.198530917
274	2.197940903
275	2.196769251
276	2.196155898
277	2.195517485
278	2.195060209
279	2.193522633
280	2.19222152
281	2.190465764
282	2.188315501
283	2.186972889
284	2.186414359
285	2.183242713
286	2.18101879
287	2.176514524
288	2.175928639
289	2.172623606
290	2.168986059
291	2.168396423
292	2.167770122
293	2.16708604
294	2.164310628
295	2.163125056
296	2.162156092
297	2.160452057
298	2.159764394
299	2.158776905
300	2.158168111
301	2.155197922
302	2.154383692
303	2.151456485
304	2.150018092
305	2.148753432
306	2.147310937
307	2.146365677
308	2.145442196
309	2.144867048
310	2.143271747
311	2.142810534
312	2.140532291
313	2.139290642
314	2.136776209
315	2.135700156
316	2.134499493
317	2.133566557
318	2.132571825
319	2.132075092
320	2.130040815
321	2.128461486
322	2.126211823
323	2.125664383
324	2.123160955
325	2.121715913
326	2.11959495
327	2.118200351
328	2.116779726
329	2.116088807
330	2.115125138
331	2.114570446
332	2.113868846
333	2.112749916
334	2.112302593
335	2.111247765
336	2.110145673
337	2.109397553
338	2.107753119
339	2.107168118
340	2.104879324
341	2.104680768
342	2.103239669
343	2.102727736
344	2.10243832
345	2.100115695
346	2.099224934
347	2.097652421
348	2.097149967
349	2.095054365
350	2.094615331
351	2.094121524
352	2.093804901
353	2.09194222
354	2.091188394
355	2.08985177
356	2.088758752
357	2.087290212
358	2.085589407
359	2.08495501
360	2.084041246
361	2.081274257
362	2.080631093
363	2.076586689
364	2.074747338
365	2.074372532
366	2.074036354
367	2.070826391
368	2.068707519
369	2.067839069
370	2.066665214
371	2.066041767
372	2.065262987
373	2.064255039
374	2.063579765
375	2.061834192
376	2.061111182
