iter	Passed	Remaining
0	11	115243
1	23	115153
2	34	116142
3	45	112591
4	56	112813
5	67	112144
6	78	111366
7	89	111210
8	100	111534
9	110	110607
10	121	109953
11	136	113396
12	148	113925
13	160	114742
14	171	114166
15	181	113482
16	191	112641
17	203	112586
18	214	112434
19	225	112329
20	235	112106
21	257	116703
22	268	116552
23	278	115849
24	289	115313
25	300	115231
26	311	114911
27	320	114185
28	330	113563
29	341	113380
30	351	113192
31	361	112503
32	371	112090
33	383	112439
34	396	112954
35	409	113266
36	420	113286
37	431	113166
38	450	115151
39	468	116772
40	486	118242
41	503	119378
42	518	120028
43	535	121134
44	548	121335
45	561	121521
46	573	121379
47	585	121406
48	596	121157
49	608	121060
50	620	121028
51	634	121354
52	646	121394
53	658	121213
54	669	121023
55	681	121034
56	695	121294
57	706	121186
58	723	121921
59	736	122027
60	751	122386
61	768	123175
62	820	129374
63	833	129333
64	846	129371
65	858	129164
66	869	128961
67	882	128846
68	894	128760
69	908	128922
70	925	129384
71	939	129572
72	953	129621
73	968	129933
74	981	129827
75	992	129582
76	1004	129391
77	1016	129318
78	1028	129180
79	1039	128889
80	1052	128867
81	1063	128646
82	1074	128441
83	1088	128543
84	1099	128275
85	1111	128166
86	1123	128034
87	1134	127808
88	1146	127664
89	1158	127542
90	1170	127415
91	1182	127356
92	1196	127408
93	1206	127173
94	1219	127099
95	1230	126925
96	1244	127019
97	1254	126765
98	1264	126506
99	1275	126310
100	1285	126029
101	1295	125750
102	1306	125510
103	1315	125216
104	1328	125173
105	1340	125077
106	1353	125151
107	1367	125288
108	1382	125444
109	1394	125408
110	1414	125979
111	1430	126333
112	1446	126582
113	1460	126660
114	1474	126760
115	1487	126714
116	1500	126755
117	1514	126805
118	1525	126701
119	1537	126622
120	1548	126444
121	1559	126270
122	1571	126165
123	1582	126049
124	1596	126158
125	1611	126299
126	1628	126593
127	1640	126510
128	1652	126483
129	1665	126431
130	1677	126389
131	1690	126387
132	1702	126316
133	1714	126234
134	1725	126094
135	1737	126006
136	1748	125899
137	1759	125766
138	1771	125673
139	1783	125584
140	1794	125494
141	1806	125382
142	1819	125445
143	1875	128338
144	1890	128485
145	1907	128775
146	1926	129131
147	1979	131754
148	1993	131804
149	2013	132204
150	2031	132511
151	2046	132595
152	2065	132960
153	2086	133430
154	2104	133659
155	2121	133840
156	2140	134226
157	2162	134678
158	2180	134977
159	2201	135419
160	2220	135712
161	2240	136041
162	2258	136324
163	2282	136893
164	2296	136863
165	2309	136811
166	2322	136757
167	2336	136722
