iter	MAE
0	9.75754695
1	9.016620587
2	8.338406506
3	7.754816944
4	7.241512645
5	6.785640072
6	6.353232251
7	5.958891288
8	5.617050626
9	5.327734961
10	5.065200433
11	4.833342421
12	4.634745027
13	4.442604046
14	4.285843762
15	4.142890712
16	4.033923124
17	3.929899824
18	3.843362217
19	3.769360526
20	3.688587123
21	3.613975367
22	3.559189363
23	3.512681431
24	3.440067306
25	3.380840351
26	3.329373814
27	3.275999879
28	3.228447485
29	3.192983393
30	3.160375222
31	3.130379717
32	3.10669126
33	3.08033819
34	3.055490764
35	3.033058902
36	3.015216573
37	2.99718203
38	2.98190186
39	2.965887956
40	2.948848083
41	2.93564398
42	2.922563492
43	2.912884857
44	2.897738933
45	2.887166092
46	2.875145093
47	2.865202954
48	2.854991507
49	2.846458386
50	2.838524932
51	2.828753059
52	2.819566316
53	2.809528591
54	2.80221003
55	2.794674918
56	2.789728658
57	2.783673789
58	2.775047603
59	2.771505684
60	2.765480323
61	2.76015209
62	2.756343076
63	2.752037389
64	2.746367805
65	2.74127038
66	2.735037084
67	2.723597158
68	2.718887603
69	2.715866763
70	2.708285049
71	2.699987583
72	2.696437855
73	2.689689395
74	2.685890501
75	2.671893563
76	2.668002186
77	2.659990538
78	2.656113613
79	2.651864028
80	2.646252314
81	2.640797822
82	2.637572494
83	2.633220778
84	2.629273333
85	2.624569049
86	2.618350714
87	2.615313989
88	2.612717295
89	2.609702158
90	2.608018071
91	2.602954062
92	2.598791624
93	2.595996239
94	2.592883945
95	2.590827144
96	2.587894509
97	2.583388354
98	2.577655736
99	2.572940869
100	2.568506623
101	2.566588125
102	2.565161467
103	2.563548343
104	2.560508831
105	2.555964414
106	2.553316494
107	2.551611519
108	2.548518638
109	2.546467459
110	2.544292327
111	2.542780677
112	2.536763713
113	2.528296276
114	2.525341595
115	2.523953172
116	2.518621792
117	2.514891458
118	2.512531207
119	2.51024504
120	2.508039151
121	2.5056101
122	2.501670965
123	2.499888632
124	2.492190042
125	2.490677089
126	2.48775426
127	2.478551186
128	2.474986087
129	2.469199511
130	2.467894941
131	2.46643457
132	2.463428463
133	2.462023588
134	2.46007233
135	2.455231388
136	2.452694109
137	2.447896638
138	2.441378388
139	2.437443765
140	2.436222965
141	2.434448479
142	2.432786026
143	2.431902618
144	2.428275723
145	2.424713585
146	2.422800702
147	2.421640795
148	2.411072533
149	2.409588648
150	2.407688607
151	2.406374476
152	2.403741308
153	2.403141858
154	2.400121252
155	2.398510918
156	2.396327029
157	2.39515913
158	2.390900502
159	2.390050435
160	2.387760537
161	2.386508223
162	2.382669992
163	2.381240034
164	2.379751072
165	2.379058441
166	2.377826767
167	2.376586635
168	2.37335682
169	2.372630203
170	2.368144103
171	2.367024092
172	2.363909274
173	2.362128924
174	2.361182908
175	2.359778391
176	2.3559517
177	2.352563069
178	2.348361687
179	2.346220087
180	2.344983207
181	2.337305137
182	2.335266472
183	2.332918461
184	2.330797725
185	2.329259859
186	2.32814423
187	2.327112168
188	2.325967006
189	2.322978156
190	2.320967019
191	2.318616222
192	2.314330757
193	2.313381897
194	2.312683245
195	2.311653454
196	2.309790946
197	2.309050522
198	2.307143981
199	2.305367989
200	2.302993823
201	2.302314106
202	2.298784844
203	2.295497686
204	2.290396711
205	2.289746871
206	2.285542977
207	2.282786666
208	2.282256363
209	2.281210564
210	2.27970672
211	2.277656644
212	2.276630962
213	2.275375274
214	2.274351751
215	2.27314653
216	2.271997363
217	2.271097919
218	2.269957694
219	2.269382892
220	2.26868161
221	2.267280369
222	2.266807575
223	2.264661584
224	2.263073071
225	2.262454664
226	2.26151088
227	2.258947476
228	2.257127411
229	2.256619279
230	2.255962624
231	2.25427248
232	2.253669833
233	2.25075824
234	2.248647508
235	2.247377178
236	2.246383904
237	2.244138132
238	2.243220746
239	2.241293521
240	2.239737731
241	2.23632764
242	2.235677554
243	2.235123022
244	2.23453482
245	2.232161619
246	2.231572951
247	2.228893718
248	2.227204912
249	2.226245755
250	2.224288144
251	2.223850203
252	2.222272058
253	2.220524817
